Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	
61064	0.314777	-0.007179	9.788703	-0.033893	0.044875	-0.106116	0.174917	0.313060	0.345175	0.702972	-1.635421	-3.348400	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61065	0.152039	-0.068513	9.806063	-0.014343	0.069379	-0.125002	0.169258	0.320399	0.336351	0.701494	-1.600925	-3.405454	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61066	0.138220	-0.261799	9.709084	-0.032217	0.061009	-0.096923	0.173121	0.314186	0.344836	0.690050	-1.569424	-3.449222	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61067	-0.100248	-0.320105	9.701837	-0.037187	0.048680	-0.065272	0.166661	0.320501	0.336064	0.676534	-1.544976	-3.477869	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61068	-0.184638	-0.090692	9.832124	-0.031012	0.050280	-0.014931	0.172661	0.313718	0.344252	0.664579	-1.519074	-3.481997	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61069	0.053503	0.043876	9.829685	-0.008266	0.026174	-0.007077	0.168550	0.319840	0.337461	0.664011	-1.505458	-3.482982	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61070	0.106439	0.017709	9.741733	-0.008479	0.007225	0.010042	0.173035	0.312605	0.347024	0.662507	-1.500251	-3.475146	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61071	0.073645	0.001236	9.681402	-0.024006	-0.000067	0.003317	0.166935	0.319484	0.337485	0.654216	-1.499095	-3.471312	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61072	0.009110	-0.036378	9.687430	-0.029318	-0.015626	0.033176	0.171864	0.314823	0.345804	0.642475	-1.504921	-3.453840	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61073	0.024601	-0.032477	9.718688	-0.033766	-0.024564	0.050565	0.168483	0.319535	0.338528	0.628822	-1.515534	-3.427569	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
