Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	
44315	0.389548	-0.246837	9.787989	-0.004073	0.013677	0.076276	0.331525	0.157594	0.342544	-1.850855	-2.088984	1.896105	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44316	0.387673	-0.232417	9.768312	-0.010600	0.006653	0.068231	0.330524	0.154591	0.340712	-1.853952	-2.084357	1.930270	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44317	0.453407	-0.245008	9.749907	-0.009237	0.001312	0.048680	0.332612	0.157356	0.340711	-1.856530	-2.082844	1.955803	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44318	0.462669	-0.264300	9.768086	-0.008928	-0.002250	0.037961	0.331594	0.154086	0.341411	-1.858307	-2.082931	1.977121	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44319	0.419869	-0.271149	9.774791	0.006422	-0.004468	0.043653	0.332574	0.155301	0.342140	-1.853282	-2.084309	2.000344	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44320	0.450208	-0.259406	9.751913	-0.000499	-0.008877	0.053531	0.330558	0.154427	0.341256	-1.851310	-2.087319	2.027160	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44321	0.496630	-0.264644	9.714034	0.004367	-0.009838	0.043416	0.331697	0.156321	0.341440	-1.847225	-2.091344	2.050353	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44322	0.509331	-0.279142	9.744819	0.012024	-0.000864	0.022828	0.330813	0.152316	0.343390	-1.838736	-2.091007	2.065703	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44323	0.475529	-0.240361	9.769754	0.011749	0.005402	0.034427	0.333080	0.156355	0.344009	-1.830919	-2.087990	2.084370	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44324	0.509544	-0.182983	9.730379	0.016027	-0.000818	-0.000939	0.332419	0.153524	0.341019	-1.820104	-2.087996	2.086118	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44325	0.566708	-0.149773	9.752292	0.016246	-0.006062	-0.032349	0.333440	0.156450	0.341796	-1.808878	-2.091586	2.073072	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44326	0.607877	-0.087556	9.791665	0.040432	0.006089	-0.047126	0.331094	0.153962	0.341882	-1.785603	-2.088989	2.052151	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44327	0.648495	-0.083097	9.782248	0.038484	0.011789	-0.085191	0.333276	0.155224	0.340247	-1.762671	-2.085011	2.013603	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44328	0.805440	-0.151792	9.726734	0.042643	-0.012310	-0.154577	0.331655	0.153720	0.340775	-1.736481	-2.092744	1.943997	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44329	0.884422	-0.339927	9.787618	0.047349	-0.008691	-0.175468	0.332510	0.156984	0.342839	-1.707704	-2.100129	1.862643	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44330	0.456433	-0.389175	9.859554	0.048407	0.028108	-0.134251	0.330801	0.155801	0.342410	-1.679088	-2.088216	1.799411	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44331	0.120650	-0.400873	9.797340	0.039345	0.033707	-0.124798	0.332237	0.157856	0.341696	-1.655081	-2.074517	1.741663	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44332	0.169288	-0.415791	9.720816	0.042100	0.037296	-0.130732	0.330752	0.155025	0.342179	-1.629563	-2.058116	1.683054	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44333	0.241144	-0.387428	9.817560	0.047883	0.026341	-0.137958	0.330297	0.159337	0.341097	-1.601369	-2.047939	1.619134	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44334	0.271911	-0.418877	9.874944	0.052049	0.035197	-0.124835	0.330349	0.157180	0.341880	-1.571230	-2.032402	1.560495	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44335	0.195878	-0.367799	9.831282	0.043964	0.033555	-0.118764	0.329691	0.158377	0.342526	-1.545337	-2.018374	1.505659	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44336	0.143981	-0.273670	9.763993	0.033193	0.020132	-0.096807	0.329076	0.158612	0.341371	-1.524705	-2.009617	1.460569	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44337	0.106587	-0.302236	9.742170	0.021533	0.026694	-0.087643	0.331331	0.159504	0.341622	-1.510080	-1.998267	1.420690	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44338	0.092923	-0.343019	9.723351	0.013621	0.019393	-0.043700	0.328585	0.157046	0.341654	-1.499691	-1.989174	1.403967	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44339	0.080789	-0.352518	9.738821	0.007269	0.014009	-0.024745	0.330382	0.160168	0.340268	-1.492995	-1.982894	1.394285	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44340	0.035322	-0.318434	9.776858	0.009142	0.015522	0.016853	0.328369	0.157334	0.341478	-1.485751	-1.974892	1.404358	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44341	0.041819	-0.301623	9.806895	-0.019134	-0.000329	0.061667	0.330479	0.160913	0.341038	-1.493124	-1.974166	1.436119	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44342	0.170868	-0.285855	9.818477	-0.005119	0.005621	0.067157	0.330127	0.157511	0.340905	-1.493519	-1.970263	1.470939	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
44343	0.370130	-0.287564	9.775735	-0.011610	-0.013171	0.061033	0.330933	0.159834	0.340889	-1.497310	-1.975620	1.502556	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
